Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1961 ,34th,George Chakiris,West Side Story,Best Supporting Actor,https://en.wikipedia.org/wiki/George Chakiris,https://upload.wikimedia.org/wikipedia/commons/3/39/George_Chakiris_Medical_Center_1970.JPG,"Norwood, Ohio, U.S.",1934,27
1962 ,35th,Ed Begley,Sweet Bird of Youth,Best Supporting Actor,https://en.wikipedia.org/wiki/Ed Begley,https://upload.wikimedia.org/wikipedia/commons/6/67/Ed_Begley_1958.jpg,"Hartford, Connecticut, U.S.",1901,61
1963 ,36th,Melvyn Douglas,Hud,Best Supporting Actor,https://en.wikipedia.org/wiki/Melvyn Douglas,https://upload.wikimedia.org/wikipedia/commons/5/5a/Douglas-portrait.jpg,"Macon, Georgia, US",1901,62
1964 ,37th,Peter Ustinov,Topkapi,Best Supporting Actor,https://en.wikipedia.org/wiki/Peter Ustinov,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Sir_Peter_Ustinov_portrait_Allan_Warren.jpg/220px-Sir_Peter_Ustinov_portrait_Allan_Warren.jpg,"London, England",1921,43
1965 ,38th,Martin Balsam,A Thousand Clowns,Best Supporting Actor,https://en.wikipedia.org/wiki/Martin Balsam,https://upload.wikimedia.org/wikipedia/commons/9/9f/Martin-balsam-trailer.jpg,"The Bronx, New York, U.S.",1919,46
1966 ,39th,Walter Matthau,The Fortune Cookie,Best Supporting Actor,https://en.wikipedia.org/wiki/Walter Matthau,https://upload.wikimedia.org/wikipedia/commons/5/5a/Walter_Matthau_-_1952.jpg,"Lower East Side, New York, U.S.",1920,46
1967 ,40th,George Kennedy,Cool Hand Luke,Best Supporting Actor,https://en.wikipedia.org/wiki/George Kennedy,https://upload.wikimedia.org/wikipedia/commons/0/06/George_Kennedy_1975.JPG,"New York City, U.S.",1925,42
1968 ,41st,Jack Albertson,The Subject Was Roses,Best Supporting Actor,https://en.wikipedia.org/wiki/Jack Albertson,https://upload.wikimedia.org/wikipedia/commons/5/5e/Jack_Albertson_in_1976%27s_The_Sad_and_Lonely_Sundays.jpg,"Malden, Massachusetts, U.S.",1907,61
1969 ,42nd,Gig Young,"They Shoot Horses, Don't They?",Best Supporting Actor,https://en.wikipedia.org/wiki/Gig Young,https://upload.wikimedia.org/wikipedia/commons/9/98/Gig_Young_-_1953.jpg,"St. Cloud, Minnesota, U.S,",1913,56
1970 ,43rd,John Mills,Ryan's Daughter,Best Supporting Actor,https://en.wikipedia.org/wiki/John Mills,//upload.wikimedia.org/wikipedia/en/thumb/a/a8/John_Mills.jpg/220px-John_Mills.jpg,"North Elmham, Norfolk, England[1]",1908,62
1971 ,44th,Ben Johnson,The Last Picture Show,Best Supporting Actor,https://en.wikipedia.org/wiki/Ben Johnson,Unknown,Unknown,Unknown,Unknown
1972 ,45th,Joel Grey,Cabaret,Best Supporting Actor,https://en.wikipedia.org/wiki/Joel Grey,https://upload.wikimedia.org/wikipedia/commons/e/ef/Joel_Grey_2014.jpg,"Cleveland, Ohio, U.S.",1932,40
1973 ,46th,John Houseman,The Paper Chase,Best Supporting Actor,https://en.wikipedia.org/wiki/John Houseman,https://upload.wikimedia.org/wikipedia/commons/9/97/John_Houseman_-_1980.jpg,"Bucharest, Romania",1902,71
1974 ,47th,Robert De Niro,The Godfather Part II,Best Supporting Actor,https://en.wikipedia.org/wiki/Robert De Niro,https://upload.wikimedia.org/wikipedia/commons/5/58/Robert_De_Niro_Cannes_2016.jpg,"New York City, U.S.",1943,31
1975 ,48th,George Burns,The Sunshine Boys,Best Supporting Actor,https://en.wikipedia.org/wiki/George Burns,https://upload.wikimedia.org/wikipedia/commons/4/49/George_Burns_1961.JPG,"New York City, U.S.",1896,79
1976 ,49th,Jason Robards,All the President's Men,Best Supporting Actor,https://en.wikipedia.org/wiki/Jason Robards,https://upload.wikimedia.org/wikipedia/commons/1/10/Jason_Robards-1968-1.jpg,"Chicago, Illinois, U.S.",1922,54
1977 ,50th,Jason Robards,Julia,Best Supporting Actor,https://en.wikipedia.org/wiki/Jason Robards,https://upload.wikimedia.org/wikipedia/commons/1/10/Jason_Robards-1968-1.jpg,"Chicago, Illinois, U.S.",1922,55
1978 ,51st,Christopher Walken,The Deer Hunter,Best Supporting Actor,https://en.wikipedia.org/wiki/Christopher Walken,https://upload.wikimedia.org/wikipedia/commons/f/f8/Christopher_Walken_2018.jpg,"Astoria, New York, U.S.",1943,35
1979 ,52nd,Melvyn Douglas,Being There,Best Supporting Actor,https://en.wikipedia.org/wiki/Melvyn Douglas,https://upload.wikimedia.org/wikipedia/commons/5/5a/Douglas-portrait.jpg,"Macon, Georgia, US",1901,78
1980 ,53rd,Timothy Hutton,Ordinary People,Best Supporting Actor,https://en.wikipedia.org/wiki/Timothy Hutton,https://upload.wikimedia.org/wikipedia/commons/6/68/Timothy_Hutton_%28Sundance_2006%29.jpg,"Malibu, California, U.S.",1960,20
1981 ,54th,John Gielgud,Arthur,Best Supporting Actor,https://en.wikipedia.org/wiki/John Gielgud,Unknown,Unknown,Unknown,Unknown
1982 ,55th,Louis Gossett Jr.,An Officer and a Gentleman,Best Supporting Actor,https://en.wikipedia.org/wiki/Louis Gossett Jr.,https://upload.wikimedia.org/wikipedia/commons/6/6f/Louis_Gossett_Jr_LF.JPG,"Brooklyn, New York City, New York, U.S.",1936,46
1983 ,56th,Jack Nicholson,Terms of Endearment,Best Supporting Actor,https://en.wikipedia.org/wiki/Jack Nicholson,https://upload.wikimedia.org/wikipedia/commons/e/ec/Jack_Nicholson_2001.jpg,"Neptune City, New Jersey, U.S.",1937,46
1984 ,57th,Haing S. Ngor,The Killing Fields,Best Supporting Actor,https://en.wikipedia.org/wiki/Haing S. Ngor,https://upload.wikimedia.org/wikipedia/en/3/3f/Haing_S._Ngor.jpg,"Samrong Yong, French Protectorate of Cambodia",1940,44
1985 ,58th,Don Ameche,Cocoon,Best Supporting Actor,https://en.wikipedia.org/wiki/Don Ameche,https://upload.wikimedia.org/wikipedia/commons/c/c8/Don_Ameche_1964.JPG,"Kenosha, Wisconsin, U.S.",1908,77
1986 ,59th,Michael Caine,Hannah and Her Sisters,Best Supporting Actor,https://en.wikipedia.org/wiki/Michael Caine,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Sir_Michael_Caine%2C_28th_EFA_Awards_2015%2C_Berlin_%28cropped%29.jpg/220px-Sir_Michael_Caine%2C_28th_EFA_Awards_2015%2C_Berlin_%28cropped%29.jpg,"Rotherhithe, London, England",1933,53
1987 ,60th,Sean Connery,The Untouchables,Best Supporting Actor,https://en.wikipedia.org/wiki/Sean Connery,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/SeanConneryJune08.jpg/220px-SeanConneryJune08.jpg,"Fountainbridge, Edinburgh, Scotland",1930,57
1988 ,61st,Kevin Kline,A Fish Called Wanda,Best Supporting Actor,https://en.wikipedia.org/wiki/Kevin Kline,https://upload.wikimedia.org/wikipedia/commons/0/00/KevinKlineSept10TIFF.jpg,"St. Louis, Missouri, U.S.",1947,41
1989 ,62nd,Denzel Washington,Glory,Best Supporting Actor,https://en.wikipedia.org/wiki/Denzel Washington,https://upload.wikimedia.org/wikipedia/commons/c/ca/Denzel_Washington_cropped.jpg,"Mount Vernon, New York, U.S.",1954,35
1990 ,63rd,Joe Pesci,Goodfellas,Best Supporting Actor,https://en.wikipedia.org/wiki/Joe Pesci,https://upload.wikimedia.org/wikipedia/commons/3/37/JoePesci-2009.jpg,"Newark, New Jersey, U.S.",1943,47
1991 ,64th,Jack Palance,City Slickers,Best Supporting Actor,https://en.wikipedia.org/wiki/Jack Palance,https://upload.wikimedia.org/wikipedia/commons/b/b9/Jack_Palance_-_1954.jpg,"Lattimer Mines, Pennsylvania, U.S.",1919,72
