Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1960 ,33rd,Shirley Jones,Elmer Gantry,Best Supporting Actress,https://en.wikipedia.org/wiki/Shirley Jones,https://upload.wikimedia.org/wikipedia/en/8/8c/Shirley_Jones_-_agency_photo_1970s.jpg,"Smithton, Pennsylvania, U.S.",1934,26
1961 ,34th,Rita Moreno,West Side Story,Best Supporting Actress,https://en.wikipedia.org/wiki/Rita Moreno,https://upload.wikimedia.org/wikipedia/commons/e/e2/Rita_Moreno_face.jpg,"Humacao, Puerto Rico",1931,30
1962 ,35th,Patty Duke,The Miracle Worker,Best Supporting Actress,https://en.wikipedia.org/wiki/Patty Duke,https://upload.wikimedia.org/wikipedia/commons/8/8c/Patty_Duke_1975.JPG,"Manhattan, New York City, U.S.[1]",1946,16
1963 ,36th,Margaret Rutherford,The V.I.P.s,Best Supporting Actress,https://en.wikipedia.org/wiki/Margaret Rutherford,//upload.wikimedia.org/wikipedia/en/f/fd/Margaret_Rutherford.gif,"Balham, London, England",1892,71
1964 ,37th,Lila Kedrova,Zorba the Greek,Best Supporting Actress,https://en.wikipedia.org/wiki/Lila Kedrova,https://upload.wikimedia.org/wikipedia/commons/7/75/Lila_Kedrova_%281965%29.jpg,"Saint Petersburg, Russian Empire",Unknown,Unknown
1965 ,38th,Shelley Winters,A Patch of Blue,Best Supporting Actress,https://en.wikipedia.org/wiki/Shelley Winters,https://upload.wikimedia.org/wikipedia/commons/8/8d/SHelleywinters.jpg,"St. Louis, Missouri, U.S.",1920,45
1966 ,39th,Sandy Dennis,Who's Afraid of Virginia Woolf?,Best Supporting Actress,https://en.wikipedia.org/wiki/Sandy Dennis,https://upload.wikimedia.org/wikipedia/en/3/3b/Sandy_Dennis.jpg,"Hastings, Nebraska, U.S.",1937,29
1967 ,40th,Estelle Parsons,Bonnie and Clyde,Best Supporting Actress,https://en.wikipedia.org/wiki/Estelle Parsons,https://upload.wikimedia.org/wikipedia/commons/5/57/Estelle_Parsons_Love_American_Style_1973.JPG,"Lynn, Massachusetts, U.S.",1927,40
1968 ,41st,Ruth Gordon,Rosemary's Baby,Best Supporting Actress,https://en.wikipedia.org/wiki/Ruth Gordon,https://upload.wikimedia.org/wikipedia/commons/a/a1/Garson_Kanin_and_Ruth_Gordon_1946.JPG,"Quincy, Massachusetts, U.S.",1896,72
1969 ,42nd,Goldie Hawn,Cactus Flower,Best Supporting Actress,https://en.wikipedia.org/wiki/Goldie Hawn,https://upload.wikimedia.org/wikipedia/en/9/96/Goldie_Hawn_-_1978.jpg,"Washington, D.C., U.S.",1945,24
1970 ,43rd,Helen Hayes,Airport,Best Supporting Actress,https://en.wikipedia.org/wiki/Helen Hayes,https://upload.wikimedia.org/wikipedia/commons/9/9d/Promotional_photograph_of_Helen_Hayes.jpg,"Washington, D.C., U.S.",1900,70
1971 ,44th,Cloris Leachman,The Last Picture Show,Best Supporting Actress,https://en.wikipedia.org/wiki/Cloris Leachman,https://upload.wikimedia.org/wikipedia/commons/2/22/Cloris_Leachman_1970.JPG,"Des Moines, Iowa, U.S.",1926,45
1972 ,45th,Eileen Heckart,Butterflies Are Free,Best Supporting Actress,https://en.wikipedia.org/wiki/Eileen Heckart,https://upload.wikimedia.org/wikipedia/commons/4/4f/EHeckhart_%28crop_and_brighter%29.jpg,"Columbus, Ohio, U.S.",1919,53
1973 ,46th,Tatum O'Neal,Paper Moon,Best Supporting Actress,https://en.wikipedia.org/wiki/Tatum O'Neal,https://upload.wikimedia.org/wikipedia/commons/e/eb/Tatum_O%27Neal_in_2019.jpg,"Los Angeles, California, U.S.",1963,10
1974 ,47th,Ingrid Bergman,Murder on the Orient Express,Best Supporting Actress,https://en.wikipedia.org/wiki/Ingrid Bergman,https://upload.wikimedia.org/wikipedia/commons/c/c0/Ingrid_Bergman%2C_Gaslight_1944.jpg,"Stockholm, Sweden",1915,59
1975 ,48th,Lee Grant,Shampoo,Best Supporting Actress,https://en.wikipedia.org/wiki/Lee Grant,https://upload.wikimedia.org/wikipedia/commons/8/80/Lee_Grant_1967.jpg,"New York City, New York, U.S.",Unknown,Unknown
1976 ,49th,Beatrice Straight,Network,Best Supporting Actress,https://en.wikipedia.org/wiki/Beatrice Straight,https://upload.wikimedia.org/wikipedia/en/8/84/Beatrice_Straight.jpg,"Old Westbury, New York, U.S.",1914,62
1977 ,50th,Vanessa Redgrave,Julia,Best Supporting Actress,https://en.wikipedia.org/wiki/Vanessa Redgrave,//upload.wikimedia.org/wikipedia/commons/thumb/2/26/Vanessa_Redgrave_Cannes_2016.jpg/220px-Vanessa_Redgrave_Cannes_2016.jpg,"Blackheath, London, England",1937,40
1978 ,51st,Maggie Smith,California Suite,Best Supporting Actress,https://en.wikipedia.org/wiki/Maggie Smith,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Dame_Maggie_Smith_%28retouched%29_%28cropped%29.jpg/220px-Dame_Maggie_Smith_%28retouched%29_%28cropped%29.jpg,"Ilford, Essex, England",1934,44
1979 ,52nd,Meryl Streep,Kramer vs. Kramer,Best Supporting Actress,https://en.wikipedia.org/wiki/Meryl Streep,https://upload.wikimedia.org/wikipedia/commons/4/46/Meryl_Streep_December_2018.jpg,"Summit, New Jersey, U.S.",1949,30
1980 ,53rd,Mary Steenburgen,Melvin and Howard,Best Supporting Actress,https://en.wikipedia.org/wiki/Mary Steenburgen,https://upload.wikimedia.org/wikipedia/commons/c/c6/MarySteenburgenDec09.jpg,"Newport, Arkansas, U.S.",1953,27
1981 ,54th,Maureen Stapleton,Reds,Best Supporting Actress,https://en.wikipedia.org/wiki/Maureen Stapleton,https://upload.wikimedia.org/wikipedia/commons/5/5b/Maureen_Stapleton_Charles_Durning_Queen_of_the_Stardust_Ballroom.jpg,"Troy, New York, U.S.",1925,56
1982 ,55th,Jessica Lange,Tootsie,Best Supporting Actress,https://en.wikipedia.org/wiki/Jessica Lange,https://upload.wikimedia.org/wikipedia/commons/9/91/Jessica_Lange_%28Cropped%29.JPG,"Cloquet, Minnesota, U.S.",1949,33
1983 ,56th,Linda Hunt,The Year of Living Dangerously,Best Supporting Actress,https://en.wikipedia.org/wiki/Linda Hunt,https://upload.wikimedia.org/wikipedia/commons/1/1b/Linda_Hunt.jpg,"Morristown, New Jersey, U.S.[1]",1945,38
1984 ,57th,Peggy Ashcroft,A Passage to India,Best Supporting Actress,https://en.wikipedia.org/wiki/Peggy Ashcroft,Unknown,Unknown,Unknown,Unknown
1985 ,58th,Anjelica Huston,Prizzi's Honor,Best Supporting Actress,https://en.wikipedia.org/wiki/Anjelica Huston,https://upload.wikimedia.org/wikipedia/commons/6/63/Anjelica_Huston_March_21%2C_2014_%28cropped%29.jpg,"Santa Monica, California, U.S.",1951,34
