Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1953,26th,Audrey Hepburn,Roman Holiday,Best Actress,https://en.wikipedia.org/wiki/Audrey Hepburn,https://upload.wikimedia.org/wikipedia/commons/5/5e/Audrey_Hepburn_1956.jpg,"Ixelles, Brussels, Belgium",1929,24
1954,27th,Grace Kelly,The Country Girl,Best Actress,https://en.wikipedia.org/wiki/Grace Kelly,Unknown,Unknown,1929,25
1955,28th,Anna Magnani,The Rose Tattoo,Best Actress,https://en.wikipedia.org/wiki/Anna Magnani,https://upload.wikimedia.org/wikipedia/commons/1/1a/Anna_magnani.jpg,"Rome, Kingdom of Italy",1908,47
1956,29th,Ingrid Bergman,Anastasia,Best Actress,https://en.wikipedia.org/wiki/Ingrid Bergman,https://upload.wikimedia.org/wikipedia/commons/c/c0/Ingrid_Bergman%2C_Gaslight_1944.jpg,"Stockholm, Sweden",1915,41
1957,30th,Joanne Woodward,The Three Faces of Eve,Best Actress,https://en.wikipedia.org/wiki/Joanne Woodward,https://upload.wikimedia.org/wikipedia/commons/d/da/Joanne_Woodward_1971.jpg,"Thomasville, Georgia, U.S.",1930,27
1958,31st,Susan Hayward,I Want to Live!,Best Actress,https://en.wikipedia.org/wiki/Susan Hayward,https://upload.wikimedia.org/wikipedia/commons/7/74/Susan_Hayward_-_1940s.jpg,"Brooklyn, New York, U.S.",1917,41
1959,32nd,Simone Signoret,Room at the Top,Best Actress,https://en.wikipedia.org/wiki/Simone Signoret,https://upload.wikimedia.org/wikipedia/en/6/6e/Simone_signoret_photo.jpg,"Wiesbaden, Germany",1921,38
1960,33rd,Elizabeth Taylor,BUtterfield 8,Best Actress,https://en.wikipedia.org/wiki/Elizabeth Taylor,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Liztaylorinviolet.jpg/220px-Liztaylorinviolet.jpg,"London, England",1932,28
1961,34th,Sophia Loren,Two Women,Best Actress,https://en.wikipedia.org/wiki/Sophia Loren,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sophia_Loren_1962.jpg/220px-Sophia_Loren_1962.jpg,"Rome, Kingdom of Italy",1934,27
1962,35th,Anne Bancroft,The Miracle Worker,Best Actress,https://en.wikipedia.org/wiki/Anne Bancroft,https://upload.wikimedia.org/wikipedia/commons/5/5d/Anne_Bancroft_1952.jpg,"The Bronx, New York, U.S.",1931,31
1963,36th,Patricia Neal,Hud,Best Actress,https://en.wikipedia.org/wiki/Patricia Neal,https://upload.wikimedia.org/wikipedia/en/4/44/Patricia_Neal_-_1952.jpg,"Packard, Kentucky, U.S.",1926,37
