Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1953,26th,Fred Zinnemann,From Here to Eternity,Best Director,https://en.wikipedia.org/wiki/Fred Zinnemann,https://upload.wikimedia.org/wikipedia/commons/9/9f/Fred_Zinnemann_1940s.jpg,"Rzeszów, Austria-Hungary (now Poland)[1][2]",1907,46
1954,27th,Elia Kazan,On the Waterfront,Best Director,https://en.wikipedia.org/wiki/Elia Kazan,https://upload.wikimedia.org/wikipedia/commons/f/fe/Elia_Kazan.JPG,"Constantinople, Ottoman Empire (now Istanbul, Turkey)",1909,45
1955,28th,Delbert Mann,Marty,Best Director,https://en.wikipedia.org/wiki/Delbert Mann,https://upload.wikimedia.org/wikipedia/en/b/b5/Delbert_Mann.jpg,"Lawrence, Kansas, U.S.",1920,35
1956,29th,George Stevens,Giant,Best Director,https://en.wikipedia.org/wiki/George Stevens,https://upload.wikimedia.org/wikipedia/commons/6/63/George_Stevens_with_Oscar_for_Giant.jpg,"Oakland, California, U.S.",1904,52
1957,30th,David Lean,The Bridge on the River Kwai,Best Director,https://en.wikipedia.org/wiki/David Lean,Unknown,"Croydon, Surrey",1908,49
1958,31st,Vincente Minnelli,Gigi,Best Director,https://en.wikipedia.org/wiki/Vincente Minnelli,https://upload.wikimedia.org/wikipedia/en/5/5c/Vincent_Minelli_-_1950s.jpg,"Chicago, Illinois, U.S.",1903,55
1959,32nd,William Wyler,Ben-Hur,Best Director,https://en.wikipedia.org/wiki/William Wyler,https://upload.wikimedia.org/wikipedia/commons/c/cd/William_Wyler_portrait.jpg,"Mülhausen, Alsace-Lorraine, German Empire (present-day France)",1902,57
1960,33rd,Billy Wilder,The Apartment,Best Director,https://en.wikipedia.org/wiki/Billy Wilder,https://upload.wikimedia.org/wikipedia/commons/7/76/Gloria_Swanson_%26_Billy_Wilder_-_ca._1950.JPG,"Sucha, Kingdom of Galicia and Lodomeria, Austria-Hungary(now Sucha Beskidzka, Poland)",1906,54
1961,34th,Robert Wise ,West Side Story,Best Director,https://en.wikipedia.org/wiki/Robert Wise ,https://upload.wikimedia.org/wikipedia/commons/7/70/Robert_wise_1990.jpg,"Winchester, Indiana, U.S.",1914,47
1962,35th,David Lean,Lawrence of Arabia,Best Director,https://en.wikipedia.org/wiki/David Lean,Unknown,"Croydon, Surrey",1908,54
1963,36th,Tony Richardson,Tom Jones,Best Director,https://en.wikipedia.org/wiki/Tony Richardson,https://upload.wikimedia.org/wikipedia/commons/b/ba/Tony_richardson.jpg,"Shipley, West Riding of Yorkshire, England",1928,35
1964,37th,George Cukor,My Fair Lady,Best Director,https://en.wikipedia.org/wiki/George Cukor,https://upload.wikimedia.org/wikipedia/en/0/06/George_Cukor_-_1946.jpg,"Manhattan, New York, U.S.",1899,65
1965,38th,Robert Wise,The Sound of Music,Best Director,https://en.wikipedia.org/wiki/Robert Wise,https://upload.wikimedia.org/wikipedia/commons/7/70/Robert_wise_1990.jpg,"Winchester, Indiana, U.S.",1914,51
1966,39th,Fred Zinnemann,A Man for All Seasons,Best Director,https://en.wikipedia.org/wiki/Fred Zinnemann,https://upload.wikimedia.org/wikipedia/commons/9/9f/Fred_Zinnemann_1940s.jpg,"Rzeszów, Austria-Hungary (now Poland)[1][2]",1907,59
1967,40th,Mike Nichols,The Graduate,Best Director,https://en.wikipedia.org/wiki/Mike Nichols,https://upload.wikimedia.org/wikipedia/commons/b/b5/Mikenichols.jpg,"Berlin, Germany",1931,36
1968,41st,Carol Reed,Oliver!,Best Director,https://en.wikipedia.org/wiki/Carol Reed,Unknown,"Putney, London, England",1906,62
1969,42nd,John Schlesinger,Midnight Cowboy,Best Director,https://en.wikipedia.org/wiki/John Schlesinger,Unknown,"London, England",1926,43
1970,43rd,Franklin J. Schaffner,Patton,Best Director,https://en.wikipedia.org/wiki/Franklin J. Schaffner,https://upload.wikimedia.org/wikipedia/commons/0/01/Franklin_J._Schaffner.jpg,"Tokyo, Japan",1920,50
1971,44th,William Friedkin,The French Connection,Best Director,https://en.wikipedia.org/wiki/William Friedkin,https://upload.wikimedia.org/wikipedia/commons/9/92/William_Friedkin%2C_Festival_de_Sitges_2017_%28cropped%29.jpg,"Chicago, Illinois, U.S.",1935,36
1972,45th,Bob Fosse,Cabaret,Best Director,https://en.wikipedia.org/wiki/Bob Fosse,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bob_Fosse_and_Viveca_Lindfors_1963.jpg,"Chicago, Illinois, U.S.",1927,45
1973,46th,George Roy Hill,The Sting,Best Director,https://en.wikipedia.org/wiki/George Roy Hill,https://upload.wikimedia.org/wikipedia/commons/0/03/George_Roy_Hill.jpg,"Minneapolis, Minnesota, U.S.",1921,52
1974,47th,Francis Ford Coppola,The Godfather Part II,Best Director,https://en.wikipedia.org/wiki/Francis Ford Coppola,https://upload.wikimedia.org/wikipedia/commons/0/05/Francis_Ford_Coppola_2011_CC.jpg,"Detroit, Michigan, U.S.",1939,35
1975,48th,Miloš Forman,One Flew Over the Cuckoo's Nest,Best Director,https://en.wikipedia.org/wiki/Miloš Forman,https://upload.wikimedia.org/wikipedia/commons/d/d0/Milos_Forman.jpg,"Čáslav, Czechoslovakia(now the Czech Republic)",1932,43
1976,49th,John G. Avildsen,Rocky,Best Director,https://en.wikipedia.org/wiki/John G. Avildsen,https://upload.wikimedia.org/wikipedia/en/1/16/John_G_Avildsen.jpg,"Oak Park, Illinois, U.S.",1935,41
1977,50th,Woody Allen,Annie Hall,Best Director,https://en.wikipedia.org/wiki/Woody Allen,https://upload.wikimedia.org/wikipedia/commons/8/89/Woody_Allen_Cannes_2016.jpg,"New York City, U.S.",1935,42
1978,51st,Michael Cimino,The Deer Hunter,Best Director,https://en.wikipedia.org/wiki/Michael Cimino,https://upload.wikimedia.org/wikipedia/commons/2/2d/MichaelCimino2003.jpg,"New York City, New York, U.S.",1939,39
1979,52nd,Robert Benton,Kramer vs. Kramer,Best Director,https://en.wikipedia.org/wiki/Robert Benton,Unknown,"Waxahachie, Texas, United States",1932,47
1980,53rd,Robert Redford,Ordinary People,Best Director,https://en.wikipedia.org/wiki/Robert Redford,https://upload.wikimedia.org/wikipedia/commons/9/9d/Robert_Redford_Cannes_2013.jpg,"Santa Monica, California, U.S.",1936,44
1981,54th,Warren Beatty,Reds,Best Director,https://en.wikipedia.org/wiki/Warren Beatty,https://upload.wikimedia.org/wikipedia/commons/e/e3/Warren_Beatty.jpg,"Richmond, Virginia, U.S.",1937,44
1982,55th,Richard Attenborough,Gandhi,Best Director,https://en.wikipedia.org/wiki/Richard Attenborough,Unknown,Unknown,1923,59
1983,56th,James L. Brooks,Terms of Endearment,Best Director,https://en.wikipedia.org/wiki/James L. Brooks,https://upload.wikimedia.org/wikipedia/commons/7/79/Jameslbrooks.jpg,"Brooklyn, New York, U.S.",1940,43
1984,57th,Miloš Forman,Amadeus,Best Director,https://en.wikipedia.org/wiki/Miloš Forman,https://upload.wikimedia.org/wikipedia/commons/d/d0/Milos_Forman.jpg,"Čáslav, Czechoslovakia(now the Czech Republic)",1932,52
1985,58th,Sydney Pollack,Out of Africa,Best Director,https://en.wikipedia.org/wiki/Sydney Pollack,https://upload.wikimedia.org/wikipedia/commons/8/8b/Sidney_Pollack_2000.jpg,"Lafayette, Indiana, U.S.",1934,51
1986,59th,Oliver Stone,Platoon,Best Director,https://en.wikipedia.org/wiki/Oliver Stone,https://upload.wikimedia.org/wikipedia/commons/5/51/Oliver_Stone_by_Gage_Skidmore.jpg,"New York City, New York, U.S.",1946,40
1987,60th,Bernardo Bertolucci,The Last Emperor,Best Director,https://en.wikipedia.org/wiki/Bernardo Bertolucci,https://upload.wikimedia.org/wikipedia/commons/c/c0/Bernardo_Bertolucci.jpg,"Parma, Kingdom of Italy",1941,46
1988,61st,Barry Levinson,Rain Man,Best Director,https://en.wikipedia.org/wiki/Barry Levinson,https://upload.wikimedia.org/wikipedia/commons/c/cb/Barry_Levinson_Shankbone_2009_Tribeca.jpg,"Baltimore, Maryland, U.S.",1942,46
1989,62nd,Oliver Stone,Born on the Fourth of July,Best Director,https://en.wikipedia.org/wiki/Oliver Stone,https://upload.wikimedia.org/wikipedia/commons/5/51/Oliver_Stone_by_Gage_Skidmore.jpg,"New York City, New York, U.S.",1946,43
1990,63rd,Kevin Costner,Dances with Wolves,Best Director,https://en.wikipedia.org/wiki/Kevin Costner,https://upload.wikimedia.org/wikipedia/commons/9/9a/Kevin_Costner_2016.jpg,"Lynwood, California, U.S.",1955,35
1991,64th,Jonathan Demme,The Silence of the Lambs,Best Director,https://en.wikipedia.org/wiki/Jonathan Demme,https://upload.wikimedia.org/wikipedia/commons/9/95/Jonathan_Demme_May_2015.jpg,"Baldwin, Nassau County, New York, U.S.",1944,47
1992,65th,Clint Eastwood,Unforgiven,Best Director,https://en.wikipedia.org/wiki/Clint Eastwood,https://upload.wikimedia.org/wikipedia/commons/6/66/Clint_Eastwood_J._Edgar_Premier%2C_November_2011_%28cropped%29.jpg,"San Francisco, California, U.S.",1930,62
1993,66th,Steven Spielberg,Schindler's List,Best Director,https://en.wikipedia.org/wiki/Steven Spielberg,https://upload.wikimedia.org/wikipedia/commons/6/67/Steven_Spielberg_by_Gage_Skidmore.jpg,"Cincinnati, Ohio, U.S.",1946,47
1994,67th,Robert Zemeckis,Forrest Gump,Best Director,https://en.wikipedia.org/wiki/Robert Zemeckis,https://upload.wikimedia.org/wikipedia/commons/d/d7/Robert_Zemeckis_%22The_Walk%22_at_Opening_Ceremony_of_the_28th_Tokyo_International_Film_Festival_%2821835891403%29_%28cropped%29.jpg,"Chicago, Illinois, U.S.",1952,42
1995,68th,Mel Gibson,Braveheart,Best Director,https://en.wikipedia.org/wiki/Mel Gibson,Unknown,"Peekskill, New York, U.S.",1956,39
1996,69th,Anthony Minghella,The English Patient,Best Director,https://en.wikipedia.org/wiki/Anthony Minghella,Unknown,"Ryde, Isle of Wight, England",1954,42
1997,70th,James Cameron,Titanic,Best Director,https://en.wikipedia.org/wiki/James Cameron,Unknown,"Kapuskasing, Ontario, Canada",1954,43
1998,71st,Steven Spielberg,Saving Private Ryan,Best Director,https://en.wikipedia.org/wiki/Steven Spielberg,https://upload.wikimedia.org/wikipedia/commons/6/67/Steven_Spielberg_by_Gage_Skidmore.jpg,"Cincinnati, Ohio, U.S.",1946,52
1999,72nd,Sam Mendes,American Beauty,Best Director,https://en.wikipedia.org/wiki/Sam Mendes,Unknown,"Reading, Berkshire, England",1965,34
2000,73rd,Steven Soderbergh,Traffic,Best Director,https://en.wikipedia.org/wiki/Steven Soderbergh,https://upload.wikimedia.org/wikipedia/commons/8/8f/Steven_Soderbergh_66%C3%A8me_Festival_de_Venise_%28Mostra%29.jpg,"Atlanta, Georgia, U.S.",1963,37
2001,74th,Ron Howard,A Beautiful Mind,Best Director,https://en.wikipedia.org/wiki/Ron Howard,https://upload.wikimedia.org/wikipedia/commons/a/a9/Ron_Howard_Cannes_2018.jpg,"Duncan, Oklahoma, U.S.",1954,47
2002,75th,Roman Polanski,The Pianist,Best Director,https://en.wikipedia.org/wiki/Roman Polanski,https://upload.wikimedia.org/wikipedia/commons/1/12/Roman_Polanski_at_Cannes_in_2013_cropped_and_brightened.jpg,"Paris, France",1933,69
2003,76th,Peter Jackson,The Lord of the Rings: The Return of the King,Best Director,https://en.wikipedia.org/wiki/Peter Jackson,Unknown,"Wellington, New Zealand",1961,42
2004,77th,Clint Eastwood,Million Dollar Baby,Best Director,https://en.wikipedia.org/wiki/Clint Eastwood,https://upload.wikimedia.org/wikipedia/commons/6/66/Clint_Eastwood_J._Edgar_Premier%2C_November_2011_%28cropped%29.jpg,"San Francisco, California, U.S.",1930,74
2005,78th,Ang Lee,Brokeback Mountain,Best Director,https://en.wikipedia.org/wiki/Ang Lee,Unknown,"Chaozhou, Pingtung, Taiwan",1954,51
2006,79th,Martin Scorsese,The Departed,Best Director,https://en.wikipedia.org/wiki/Martin Scorsese,https://upload.wikimedia.org/wikipedia/commons/8/8a/Martin_Scorsese_Berlinale_2010_%28cropped%29.jpg,"New York City, U.S.",1942,64
2007,80th,Coen Brothers,No Country for Old Men,Best Director,https://en.wikipedia.org/wiki/Coen Brothers,https://upload.wikimedia.org/wikipedia/commons/e/e2/Coen_brothers_Cannes_2015_2_%28CROPPED%29.jpg,"St. Louis Park, Minnesota, U.S. (both)",1954,53
2008,81st,Danny Boyle,Slumdog Millionaire,Best Director,https://en.wikipedia.org/wiki/Danny Boyle,https://upload.wikimedia.org/wikipedia/commons/f/f0/Danny_Boyle_May_2019.jpg,"Radcliffe, Greater Manchester, England",1956,52
2009,82nd,Kathryn Bigelow,The Hurt Locker,Best Director,https://en.wikipedia.org/wiki/Kathryn Bigelow,https://upload.wikimedia.org/wikipedia/commons/c/cb/82nd_Academy_Awards%2C_Kathryn_Bigelow_-_army_mil-66453-2010-03-09-180354.jpg,"San Carlos, California, U.S.",1951,58
2010,83rd,Tom Hooper,The King's Speech,Best Director,https://en.wikipedia.org/wiki/Tom Hooper,https://upload.wikimedia.org/wikipedia/commons/e/ec/TomHopper10TIFF.jpg,"London, England",1972,38
2011,84th,Michel Hazanavicius,The Artist,Best Director,https://en.wikipedia.org/wiki/Michel Hazanavicius,https://upload.wikimedia.org/wikipedia/commons/4/48/Michel_Hazanavicius_C%C3%A9sars_2017.jpg,"Paris, France",1967,44
2012,85th,Ang Lee,Life of Pi,Best Director,https://en.wikipedia.org/wiki/Ang Lee,Unknown,"Chaozhou, Pingtung, Taiwan",1954,58
2013,86th,Alfonso Cuarón,Gravity,Best Director,https://en.wikipedia.org/wiki/Alfonso Cuarón,https://upload.wikimedia.org/wikipedia/commons/0/00/Alfonso_Cuar%C3%B3n_%282013%29_cropped.jpg,"Mexico City, Mexico",1961,52
2014,87th,Alejandro G. Iñárritu,Birdman,Best Director,https://en.wikipedia.org/wiki/Alejandro G. Iñárritu,https://upload.wikimedia.org/wikipedia/commons/1/18/Alejandro_Gonzalez_I%C3%B1arritu_Headshot.jpg,"Mexico City, Mexico",1963,51
2015,88th,Alejandro G. Iñárritu,The Revenant,Best Director,https://en.wikipedia.org/wiki/Alejandro G. Iñárritu,https://upload.wikimedia.org/wikipedia/commons/1/18/Alejandro_Gonzalez_I%C3%B1arritu_Headshot.jpg,"Mexico City, Mexico",1963,52
2016,89th,Damien Chazelle,La La Land,Best Director,https://en.wikipedia.org/wiki/Damien Chazelle,https://upload.wikimedia.org/wikipedia/commons/5/54/Damien_Chazelle_%28cropped%29.jpg,"Providence, Rhode Island, U.S.",1985,31
2017,90th,Guillermo del Toro,The Shape of Water,Best Director,https://en.wikipedia.org/wiki/Guillermo del Toro,https://upload.wikimedia.org/wikipedia/commons/f/f1/Guillermo_del_Toro_in_2017.jpg,"Guadalajara, Jalisco, Mexico",1964,53
2018,91st,Alfonso Cuarón,Roma,Best Director,https://en.wikipedia.org/wiki/Alfonso Cuarón,https://upload.wikimedia.org/wikipedia/commons/0/00/Alfonso_Cuar%C3%B3n_%282013%29_cropped.jpg,"Mexico City, Mexico",1961,57
2019,92nd,Bong Joon-ho,Parasite,Best Director,https://en.wikipedia.org/wiki/Bong Joon-ho,https://upload.wikimedia.org/wikipedia/commons/f/fb/Bong_Joon-ho_2017.jpg,"Daegu, South Korea",1969,50
