Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
1976 ,49th,Beatrice Straight,Network,Best Supporting Actress,https://en.wikipedia.org/wiki/Beatrice Straight,"Old Westbury, New York, U.S.",1914
1977 ,50th,Vanessa Redgrave,Julia,Best Supporting Actress,https://en.wikipedia.org/wiki/Vanessa Redgrave,"Blackheath, London, England",1937
1978 ,51st,Maggie Smith,California Suite,Best Supporting Actress,https://en.wikipedia.org/wiki/Maggie Smith,"Ilford, Essex, England",1934
1979 ,52nd,Meryl Streep,Kramer vs. Kramer,Best Supporting Actress,https://en.wikipedia.org/wiki/Meryl Streep,"Summit, New Jersey, U.S.",1949
1980 ,53rd,Mary Steenburgen,Melvin and Howard,Best Supporting Actress,https://en.wikipedia.org/wiki/Mary Steenburgen,"Newport, Arkansas, U.S.",1953
1981 ,54th,Maureen Stapleton,Reds,Best Supporting Actress,https://en.wikipedia.org/wiki/Maureen Stapleton,"Troy, New York, U.S.",1925
1982 ,55th,Jessica Lange,Tootsie,Best Supporting Actress,https://en.wikipedia.org/wiki/Jessica Lange,"Cloquet, Minnesota, U.S.",1949
1983 ,56th,Linda Hunt,The Year of Living Dangerously,Best Supporting Actress,https://en.wikipedia.org/wiki/Linda Hunt,"Morristown, New Jersey, U.S.[1]",1945
1984 ,57th,Peggy Ashcroft,A Passage to India,Best Supporting Actress,https://en.wikipedia.org/wiki/Peggy Ashcroft,Unknown,Unknown
1985 ,58th,Anjelica Huston,Prizzi's Honor,Best Supporting Actress,https://en.wikipedia.org/wiki/Anjelica Huston,"Santa Monica, California, U.S.",1951
1986 ,59th,Dianne Wiest,Hannah and Her Sisters,Best Supporting Actress,https://en.wikipedia.org/wiki/Dianne Wiest,"Kansas City, Missouri, U.S.",1946
1987 ,60th,Olympia Dukakis,Moonstruck,Best Supporting Actress,https://en.wikipedia.org/wiki/Olympia Dukakis,"Lowell, Massachusetts, U.S.",1931
1988 ,61st,Geena Davis,The Accidental Tourist,Best Supporting Actress,https://en.wikipedia.org/wiki/Geena Davis,"Wareham, Massachusetts, U.S.",1956
1989 ,62nd,Brenda Fricker,My Left Foot,Best Supporting Actress,https://en.wikipedia.org/wiki/Brenda Fricker,"Dublin, Ireland",1945
1990 ,63rd,Whoopi Goldberg,Ghost,Best Supporting Actress,https://en.wikipedia.org/wiki/Whoopi Goldberg,Unknown,1955
1991 ,64th,Mercedes Ruehl,The Fisher King,Best Supporting Actress,https://en.wikipedia.org/wiki/Mercedes Ruehl,"Jackson Heights, Queens, New York City U.S.",1948
1992 ,65th,Marisa Tomei,My Cousin Vinny,Best Supporting Actress,https://en.wikipedia.org/wiki/Marisa Tomei,"Brooklyn, New York, U.S.",1964
1993 ,66th,Anna Paquin,The Piano,Best Supporting Actress,https://en.wikipedia.org/wiki/Anna Paquin,"Winnipeg, Manitoba, Canada",1982
1994 ,67th,Dianne Wiest,Bullets over Broadway,Best Supporting Actress,https://en.wikipedia.org/wiki/Dianne Wiest,"Kansas City, Missouri, U.S.",1946
1995 ,68th,Mira Sorvino,Mighty Aphrodite,Best Supporting Actress,https://en.wikipedia.org/wiki/Mira Sorvino,"Manhattan, New York, U.S.",1967
1996 ,69th,Juliette Binoche,The English Patient,Best Supporting Actress,https://en.wikipedia.org/wiki/Juliette Binoche,"Paris, France",1964
1997 ,70th,Kim Basinger,L.A. Confidential,Best Supporting Actress,https://en.wikipedia.org/wiki/Kim Basinger,"Athens, Georgia, U.S.",1953
1998 ,71st,Judi Dench,Shakespeare in Love,Best Supporting Actress,https://en.wikipedia.org/wiki/Judi Dench,"Heworth, North Riding of Yorkshire, England",1934
1999 ,72nd,Angelina Jolie,"Girl, Interrupted",Best Supporting Actress,https://en.wikipedia.org/wiki/Angelina Jolie,"Los Angeles, California, U.S.",1975
2000 ,73rd,Marcia Gay Harden,Pollock,Best Supporting Actress,https://en.wikipedia.org/wiki/Marcia Gay Harden,"La Jolla, California, U.S.",1959
2001 ,74th,Jennifer Connelly,A Beautiful Mind,Best Supporting Actress,https://en.wikipedia.org/wiki/Jennifer Connelly,"Cairo, New York, U.S.",1970
2002 ,75th,Catherine Zeta-Jones,Chicago,Best Supporting Actress,https://en.wikipedia.org/wiki/Catherine Zeta-Jones,"Swansea, Wales, United Kingdom",1969
2003 ,76th,Renée Zellweger,Cold Mountain,Best Supporting Actress,https://en.wikipedia.org/wiki/Renée Zellweger,"Katy, Texas, U.S.",1969
2004 ,77th,Cate Blanchett,The Aviator,Best Supporting Actress,https://en.wikipedia.org/wiki/Cate Blanchett,"Ivanhoe, Victoria, Australia",1969
2005 ,78th,Rachel Weisz,The Constant Gardener,Best Supporting Actress,https://en.wikipedia.org/wiki/Rachel Weisz,"Westminster, London, England",1970
2006 ,79th,Jennifer Hudson,Dreamgirls,Best Supporting Actress,https://en.wikipedia.org/wiki/Jennifer Hudson,"Chicago, Illinois, U.S.",1981
2007 ,80th,Tilda Swinton,Michael Clayton,Best Supporting Actress,https://en.wikipedia.org/wiki/Tilda Swinton,"London, England",1960
2008 ,81st,Penélope Cruz,Vicky Cristina Barcelona,Best Supporting Actress,https://en.wikipedia.org/wiki/Penélope Cruz,"Alcobendas, Community of Madrid, Spain",1974
2009 ,82nd,Mo'Nique,Precious,Best Supporting Actress,https://en.wikipedia.org/wiki/Mo'Nique,"Baltimore, Maryland, U.S.",1967
2010 ,83rd,Melissa Leo,The Fighter,Best Supporting Actress,https://en.wikipedia.org/wiki/Melissa Leo,"Manhattan, New York, U.S.",1960
2011 ,84th,Octavia Spencer,The Help,Best Supporting Actress,https://en.wikipedia.org/wiki/Octavia Spencer,"Montgomery, Alabama, U.S.",1972
2012 ,85th,Anne Hathaway,Les Misérables,Best Supporting Actress,https://en.wikipedia.org/wiki/Anne Hathaway,"Brooklyn, New York, U.S.",1982
2013 ,86th,Lupita Nyong'o,12 Years a Slave,Best Supporting Actress,https://en.wikipedia.org/wiki/Lupita Nyong'o,"Mexico City, Mexico",1983
2014 ,87th,Patricia Arquette,Boyhood,Best Supporting Actress,https://en.wikipedia.org/wiki/Patricia Arquette,"Chicago, Illinois, U.S.",1968
2015 ,88th,Alicia Vikander,The Danish Girl,Best Supporting Actress,https://en.wikipedia.org/wiki/Alicia Vikander,"Gothenburg, Sweden",1988
2016 ,89th,Viola Davis,Fences,Best Supporting Actress,https://en.wikipedia.org/wiki/Viola Davis,"St. Matthews, South Carolina, U.S.",1965
2017 ,90th,Allison Janney,"I, Tonya",Best Supporting Actress,https://en.wikipedia.org/wiki/Allison Janney,"Boston, Massachusetts, U.S.",1959
2018 ,91st,Regina King,If Beale Street Could Talk,Best Supporting Actress,https://en.wikipedia.org/wiki/Regina King,"Los Angeles, California, U.S.",1971
2019 ,92nd,Laura Dern,Marriage Story,Best Supporting Actress,https://en.wikipedia.org/wiki/Laura Dern,"Los Angeles, California, U.S.",1967
