Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year,Age Awarded
1969,42nd,John Wayne,True Grit,Best Actor,https://en.wikipedia.org/wiki/John Wayne,"Winterset, Iowa, U.S.",1907,62
1970,43rd,George C. Scott,Patton,Best Actor,https://en.wikipedia.org/wiki/George C. Scott,"Wise, Virginia, U.S.",1927,43
1971,44th,Gene Hackman,The French Connection,Best Actor,https://en.wikipedia.org/wiki/Gene Hackman,"San Bernardino, California, U.S.",1930,41
1972,45th,Marlon Brando,The Godfather,Best Actor,https://en.wikipedia.org/wiki/Marlon Brando,"Omaha, Nebraska, U.S.",1924,48
1973,46th,Jack Lemmon,Save the Tiger,Best Actor,https://en.wikipedia.org/wiki/Jack Lemmon,"Newton, Massachusetts, U.S.",1925,48
1974,47th,Art Carney,Harry and Tonto,Best Actor,https://en.wikipedia.org/wiki/Art Carney,"Mount Vernon, New York, U.S.",1918,56
1975,48th,Jack Nicholson,One Flew Over the Cuckoo's Nest,Best Actor,https://en.wikipedia.org/wiki/Jack Nicholson,"Neptune City, New Jersey, U.S.",1937,38
1976,49th,Peter Finch,Network,Best Actor,https://en.wikipedia.org/wiki/Peter Finch,"South Kensington, London, England",1916,60
1977,50th,Richard Dreyfuss,The Goodbye Girl,Best Actor,https://en.wikipedia.org/wiki/Richard Dreyfuss,"Brooklyn, New York, U.S.",1947,30
1978,51st,Jon Voight,Coming Home,Best Actor,https://en.wikipedia.org/wiki/Jon Voight,"Yonkers, New York, U.S.",1938,40
1979,52nd,Dustin Hoffman,Kramer vs. Kramer,Best Actor,https://en.wikipedia.org/wiki/Dustin Hoffman,"Los Angeles, California, U.S.",1937,42
1980,53rd,Robert De Niro,Raging Bull,Best Actor,https://en.wikipedia.org/wiki/Robert De Niro,"New York City, U.S.",1943,37
1981,54th,Henry Fonda,On Golden Pond,Best Actor,https://en.wikipedia.org/wiki/Henry Fonda,"Grand Island, Nebraska, U.S.",1905,76
1982,55th,Ben Kingsley,Gandhi,Best Actor,https://en.wikipedia.org/wiki/Ben Kingsley,"Snainton, North Riding of Yorkshire, England",1943,39
1983,56th,Robert Duvall,Tender Mercies,Best Actor,https://en.wikipedia.org/wiki/Robert Duvall,"San Diego, California, U.S.",1931,52
1984,57th,F. Murray Abraham,Amadeus,Best Actor,https://en.wikipedia.org/wiki/F. Murray Abraham,"Pittsburgh, Pennsylvania, United States",1939,45
1985,58th,William Hurt,Kiss of the Spider Woman,Best Actor,https://en.wikipedia.org/wiki/William Hurt,"Washington, D.C., U.S.",1950,35
1986,59th,Paul Newman,The Color of Money,Best Actor,https://en.wikipedia.org/wiki/Paul Newman,"Shaker Heights, Ohio, U.S.",1925,61
1987,60th,Michael Douglas,Wall Street,Best Actor,https://en.wikipedia.org/wiki/Michael Douglas,"New Brunswick, New Jersey, U.S.",1944,43
1988,61st,Dustin Hoffman,Rain Man,Best Actor,https://en.wikipedia.org/wiki/Dustin Hoffman,"Los Angeles, California, U.S.",1937,51
1989,62nd,Daniel Day-Lewis,My Left Foot,Best Actor,https://en.wikipedia.org/wiki/Daniel Day-Lewis,"London, England",1957,32
1990,63rd,Jeremy Irons,Reversal of Fortune,Best Actor,https://en.wikipedia.org/wiki/Jeremy Irons,"Cowes, Isle of Wight, England",1948,42
1991,64th,Anthony Hopkins,The Silence of the Lambs,Best Actor,https://en.wikipedia.org/wiki/Anthony Hopkins,"Margam, Port Talbot, Glamorgan, Wales",1937,54
1992,65th,Al Pacino,Scent of a Woman,Best Actor,https://en.wikipedia.org/wiki/Al Pacino,"New York City, New York, U.S.",1940,52
1993,66th,Tom Hanks,Philadelphia,Best Actor,https://en.wikipedia.org/wiki/Tom Hanks,"Concord, California, U.S.",1956,37
1994,67th,Tom Hanks,Forrest Gump,Best Actor,https://en.wikipedia.org/wiki/Tom Hanks,"Concord, California, U.S.",1956,38
1995,68th,Nicolas Cage,Leaving Las Vegas,Best Actor,https://en.wikipedia.org/wiki/Nicolas Cage,"Long Beach, California, U.S.",1964,31
1996,69th,Geoffrey Rush,Shine,Best Actor,https://en.wikipedia.org/wiki/Geoffrey Rush,"Toowoomba, Queensland, Australia",1951,45
1997,70th,Jack Nicholson,As Good as It Gets,Best Actor,https://en.wikipedia.org/wiki/Jack Nicholson,"Neptune City, New Jersey, U.S.",1937,60
1998,71st,Roberto Benigni,Life Is Beautiful,Best Actor,https://en.wikipedia.org/wiki/Roberto Benigni,"Manciano La Misericordia, Castiglion Fiorentino, Italy",1952,46
