Years,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
1978 (51st),Christopher Walken,The Deer Hunter,BestSupportingActor,https://en.wikipedia.org/wiki/Christopher Walken,"Astoria, New York, U.S.",1943
1979 (52nd),Melvyn Douglas,Being There,BestSupportingActor,https://en.wikipedia.org/wiki/Melvyn Douglas,"Macon, Georgia, US",1901
1980 (53rd),Timothy Hutton,Ordinary People,BestSupportingActor,https://en.wikipedia.org/wiki/Timothy Hutton,"Malibu, California, U.S.",1960
1981 (54th),John Gielgud,Arthur,BestSupportingActor,https://en.wikipedia.org/wiki/John Gielgud,Unknown,Unknown
1982 (55th),Louis Gossett Jr.,An Officer and a Gentleman,BestSupportingActor,https://en.wikipedia.org/wiki/Louis Gossett Jr.,"Brooklyn, New York City, New York, U.S.",1936
1983 (56th),Jack Nicholson,Terms of Endearment,BestSupportingActor,https://en.wikipedia.org/wiki/Jack Nicholson,"Neptune City, New Jersey, U.S.",1937
1984 (57th),Haing S. Ngor,The Killing Fields,BestSupportingActor,https://en.wikipedia.org/wiki/Haing S. Ngor,"Samrong Yong, French Protectorate of Cambodia",1940
1985 (58th),Don Ameche,Cocoon,BestSupportingActor,https://en.wikipedia.org/wiki/Don Ameche,"Kenosha, Wisconsin, U.S.",1908
1986 (59th),Michael Caine,Hannah and Her Sisters,BestSupportingActor,https://en.wikipedia.org/wiki/Michael Caine,"Rotherhithe, London, England",1933
1987 (60th),Sean Connery,The Untouchables,BestSupportingActor,https://en.wikipedia.org/wiki/Sean Connery,"Fountainbridge, Edinburgh, Scotland",1930
1988 (61st),Kevin Kline,A Fish Called Wanda,BestSupportingActor,https://en.wikipedia.org/wiki/Kevin Kline,"St. Louis, Missouri, U.S.",1947
1989 (62nd),Denzel Washington,Glory,BestSupportingActor,https://en.wikipedia.org/wiki/Denzel Washington,"Mount Vernon, New York, U.S.",1954
1990 (63rd),Joe Pesci,Goodfellas,BestSupportingActor,https://en.wikipedia.org/wiki/Joe Pesci,"Newark, New Jersey, U.S.",1943
1991 (64th),Jack Palance,City Slickers,BestSupportingActor,https://en.wikipedia.org/wiki/Jack Palance,"Lattimer Mines, Pennsylvania, U.S.",1919
1992 (65th),Gene Hackman,Unforgiven,BestSupportingActor,https://en.wikipedia.org/wiki/Gene Hackman,"San Bernardino, California, U.S.",1930
1993 (66th),Tommy Lee Jones,The Fugitive,BestSupportingActor,https://en.wikipedia.org/wiki/Tommy Lee Jones,"San Saba, Texas, U.S.",1946
1994 (67th),Martin Landau,Ed Wood,BestSupportingActor,https://en.wikipedia.org/wiki/Martin Landau,"Brooklyn, New York City, U.S.",1928
1995 (68th),Kevin Spacey,The Usual Suspects,BestSupportingActor,https://en.wikipedia.org/wiki/Kevin Spacey,"South Orange, New Jersey, U.S.",1959
1996 (69th),Cuba Gooding Jr.,Jerry Maguire,BestSupportingActor,https://en.wikipedia.org/wiki/Cuba Gooding Jr.,"The Bronx, New York, U.S.",1968
1997 (70th),Robin Williams,Good Will Hunting,BestSupportingActor,https://en.wikipedia.org/wiki/Robin Williams,"Chicago, Illinois, U.S.",1951
1998 (71st),James Coburn,Affliction,BestSupportingActor,https://en.wikipedia.org/wiki/James Coburn,"Laurel, Nebraska, U.S.",1928
1999 (72nd),Michael Caine,The Cider House Rules,BestSupportingActor,https://en.wikipedia.org/wiki/Michael Caine,"Rotherhithe, London, England",1933
2000 (73rd),Benicio del Toro,Traffic,BestSupportingActor,https://en.wikipedia.org/wiki/Benicio del Toro,"San Germán, Puerto Rico",1967
2001 (74th),Jim Broadbent,Iris,BestSupportingActor,https://en.wikipedia.org/wiki/Jim Broadbent,"Holton cum Beckering, Lincolnshire, England",1949
2002 (75th),Chris Cooper,Adaptation.,BestSupportingActor,https://en.wikipedia.org/wiki/Chris Cooper,"Kansas City, Missouri, U.S.",1951
2003 (76th),Tim Robbins,Mystic River,BestSupportingActor,https://en.wikipedia.org/wiki/Tim Robbins,"West Covina, California, U.S.",1958
2004 (77th),Morgan Freeman,Million Dollar Baby,BestSupportingActor,https://en.wikipedia.org/wiki/Morgan Freeman,"Memphis, Tennessee, U.S.",1937
2005 (78th),George Clooney,Syriana,BestSupportingActor,https://en.wikipedia.org/wiki/George Clooney,"Lexington, Kentucky, U.S.",1961
2006 (79th),Alan Arkin,Little Miss Sunshine,BestSupportingActor,https://en.wikipedia.org/wiki/Alan Arkin,"Brooklyn, New York, U.S.",1934
2007 (80th),Javier Bardem,No Country for Old Men,BestSupportingActor,https://en.wikipedia.org/wiki/Javier Bardem,"Las Palmas de Gran Canaria, Canary Islands, Spain",1969
2008 (81st),Heath Ledger †,The Dark Knight,BestSupportingActor,https://en.wikipedia.org/wiki/Heath Ledger †,Unknown,Unknown
