Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year,Age Awarded
1968,41st,Barbra Streisand,Funny Girl,Best Actress,https://en.wikipedia.org/wiki/Barbra Streisand,"New York City, U.S.",1942,26
1969,42nd,Maggie Smith,The Prime of Miss Jean Brodie,Best Actress,https://en.wikipedia.org/wiki/Maggie Smith,"Ilford, Essex, England",1934,35
1970,43rd,Glenda Jackson,Women in Love,Best Actress,https://en.wikipedia.org/wiki/Glenda Jackson,Unknown,1936,34
1971,44th,Jane Fonda,Klute,Best Actress,https://en.wikipedia.org/wiki/Jane Fonda,"New York City, New York, U.S.",1937,34
1972,45th,Liza Minnelli,Cabaret,Best Actress,https://en.wikipedia.org/wiki/Liza Minnelli,"Los Angeles, California, U.S.",1946,26
1973,46th,Glenda Jackson,A Touch of Class,Best Actress,https://en.wikipedia.org/wiki/Glenda Jackson,Unknown,1936,37
1974,47th,Ellen Burstyn,Alice Doesn't Live Here Anymore,Best Actress,https://en.wikipedia.org/wiki/Ellen Burstyn,"Detroit, Michigan, U.S.",1932,42
1975,48th,Louise Fletcher,One Flew Over the Cuckoo's Nest,Best Actress,https://en.wikipedia.org/wiki/Louise Fletcher,"Birmingham, Alabama, U.S.",1934,41
1976,49th,Faye Dunaway,Network,Best Actress,https://en.wikipedia.org/wiki/Faye Dunaway,"Bascom, Florida, U.S.",1941,35
1977,50th,Diane Keaton,Annie Hall,Best Actress,https://en.wikipedia.org/wiki/Diane Keaton,"Los Angeles, California, U.S.",1946,31
1978,51st,Jane Fonda,Coming Home,Best Actress,https://en.wikipedia.org/wiki/Jane Fonda,"New York City, New York, U.S.",1937,41
1979,52nd,Sally Field,Norma Rae,Best Actress,https://en.wikipedia.org/wiki/Sally Field,"Pasadena, California",1946,33
1980,53rd,Sissy Spacek,Coal Miner's Daughter,Best Actress,https://en.wikipedia.org/wiki/Sissy Spacek,"Quitman, Texas, U.S.",1949,31
1981,54th,Katharine Hepburn,On Golden Pond,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,"Hartford, Connecticut, U.S.",1907,74
1982,55th,Meryl Streep,Sophie's Choice,Best Actress,https://en.wikipedia.org/wiki/Meryl Streep,"Summit, New Jersey, U.S.",1949,33
1983,56th,Shirley MacLaine,Terms of Endearment,Best Actress,https://en.wikipedia.org/wiki/Shirley MacLaine,"Richmond, Virginia, U.S.",1934,49
1984,57th,Sally Field,Places in the Heart,Best Actress,https://en.wikipedia.org/wiki/Sally Field,"Pasadena, California",1946,38
1985,58th,Geraldine Page,The Trip to Bountiful,Best Actress,https://en.wikipedia.org/wiki/Geraldine Page,"Kirksville, Missouri, U.S.",1924,61
1986,59th,Marlee Matlin,Children of a Lesser God,Best Actress,https://en.wikipedia.org/wiki/Marlee Matlin,"Morton Grove, Illinois, U.S.",1965,21
1987,60th,Cher,Moonstruck,Best Actress,https://en.wikipedia.org/wiki/Cher,"El Centro, California, U.S.",1946,41
1988,61st,Jodie Foster,The Accused,Best Actress,https://en.wikipedia.org/wiki/Jodie Foster,"Los Angeles, California, U.S.",1962,26
1989,62nd,Jessica Tandy,Driving Miss Daisy,Best Actress,https://en.wikipedia.org/wiki/Jessica Tandy,"Hackney, London, England",1909,80
1990,63rd,Kathy Bates,Misery,Best Actress,https://en.wikipedia.org/wiki/Kathy Bates,"Memphis, Tennessee, U.S.",1948,42
1991,64th,Jodie Foster,The Silence of the Lambs,Best Actress,https://en.wikipedia.org/wiki/Jodie Foster,"Los Angeles, California, U.S.",1962,29
1992,65th,Emma Thompson,Howards End,Best Actress,https://en.wikipedia.org/wiki/Emma Thompson,"Paddington, London, England",1959,33
1993,66th,Holly Hunter,The Piano,Best Actress,https://en.wikipedia.org/wiki/Holly Hunter,"Conyers, Georgia, U.S.",1958,35
1994,67th,Jessica Lange,Blue Sky,Best Actress,https://en.wikipedia.org/wiki/Jessica Lange,"Cloquet, Minnesota, U.S.",1949,45
1995,68th,Susan Sarandon,Dead Man Walking,Best Actress,https://en.wikipedia.org/wiki/Susan Sarandon,"New York City, New York, U.S.",1946,49
1996,69th,Frances McDormand,Fargo,Best Actress,https://en.wikipedia.org/wiki/Frances McDormand,"Gibson City, Illinois, U.S.",1957,39
1997,70th,Helen Hunt,As Good as It Gets,Best Actress,https://en.wikipedia.org/wiki/Helen Hunt,"Culver City, California, U.S.",1963,34
1998,71st,Gwyneth Paltrow,Shakespeare in Love,Best Actress,https://en.wikipedia.org/wiki/Gwyneth Paltrow,"Los Angeles, California, U.S.",1972,26
1999,72nd,Hilary Swank,Boys Don't Cry,Best Actress,https://en.wikipedia.org/wiki/Hilary Swank,"Lincoln, Nebraska, U.S.",1974,25
2000,73rd,Julia Roberts,Erin Brockovich,Best Actress,https://en.wikipedia.org/wiki/Julia Roberts,"Smyrna, Georgia, U.S.",1967,33
